hour,run_id,pipeline,call_count,tokens_total,tokens_input,tokens_output,tokens_cached,models,source_type
2026-03-04 12:00,31687a383e124e6abe7b8c0964d79233,recipe.chunking.v1,18,246787,231293,15494,101376,gpt-5.3-codex-spark,worker
2026-03-04 12:00,448e168c1e6f428593804f032f2d5a7a,recipe.schemaorg.v1,18,265169,201285,63884,101376,gpt-5.3-codex-spark,worker
2026-03-04 12:00,c0192ac0cb8e44fbb968eaffdb834eed,recipe.final.v1,9,762881,733920,28961,655488,gpt-5.3-codex-spark,worker
2026-03-04 12:00,e50b645c5479469ab34f285232635d5b,recipe.chunking.v1,39,628333,590326,38007,219648,gpt-5.3-codex-spark,worker
2026-03-04 12:00,d7e63aa8d3ff4f2eb47bc92b1045aafa,recipe.schemaorg.v1,39,443238,335664,107574,219648,gpt-5.3-codex-spark,worker
2026-03-04 12:00,7c25a449f81841e8840dfae27bf7fd62,recipe.final.v1,13,778433,735967,42466,665344,gpt-5.3-codex-spark,worker
2026-03-04 11:00,2f232862ccfd4b4084d30b6e3f074e89,recipe.chunking.v1,30,390739,369706,21033,90112,gpt-5.3-codex-spark,worker
2026-03-04 11:00,cad2fc83171c41c5bb5524c456a88817,recipe.chunking.v1,55,783362,711984,71378,275968,gpt-5.3-codex-spark,worker
2026-03-04 11:00,4dd8d60607a0483386e19927a0b6ceaa,recipe.chunking.v1,20,254123,244941,9182,112640,gpt-5.3-codex-spark,worker
2026-03-04 11:00,c54f11aa745e43499a442eee5ebac9ce,recipe.schemaorg.v1,15,180626,146760,33866,16896,gpt-5.3-codex-spark,worker
2026-03-04 06:00,44db5509245a4681a1c349b911e25db4,recipe.final.v1,2,1967694,1949426,18268,1831424,gpt-5.3-codex-spark,worker
2026-03-04 06:00,924567ccfece4d03b9173f343ce9dcee,recipe.chunking.v1,2,14632,13634,998,13312,gpt-5.3-codex-spark,worker
2026-03-04 06:00,e89f830dd5474bebbb03577ad7371a50,recipe.chunking.v1,2,15996,12946,3050,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,1596d674d2af4de98059c8224c907869,recipe.schemaorg.v1,2,19026,14274,4752,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,50d1ef489651457f9e18e186e74616fe,recipe.schemaorg.v1,2,15436,13350,2086,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,c2ab31e71383458588fd8ca0d80f12cc,recipe.chunking.v1,4,30966,28832,2134,11264,gpt-5.3-codex-spark,worker
2026-03-04 06:00,087ef63354734c6b9d347b5cf2b5537f,recipe.schemaorg.v1,4,32250,27436,4814,11264,gpt-5.3-codex-spark,worker
2026-03-04 06:00,694274710dd64cb895da085e9ff3b6c6,recipe.chunking.v1,6,6972,6972,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,21c0e42a288c44c0a5eb92d1204b648d,recipe.chunking.v1,6,6972,6972,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,edcec9e1d11149759db449faaa78589d,recipe.chunking.v1,60,855150,739412,115738,157696,gpt-5.3-codex-spark,worker
2026-03-04 06:00,0a4cd342882141adb207d02fb9015244,recipe.schemaorg.v1,60,847660,578426,269234,146432,gpt-5.3-codex-spark,worker
